,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
0,La Guajira,Uribia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
1,San Andres, ,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
2,San Andres,Providencia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
3,San Andres,San Andres,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
4,La Guajira,Manaure,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
6,La Guajira,Riohacha,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
9,Magdalena,Santa Marta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,3,,2015,
10,La Guajira,Hatonuevo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
13,Atlantico,Barranquilla,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
15,Atlantico,Puerto Colombia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
16,La Guajira,Distraccion,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
19,Magdalena,Zona Bananera,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
20,Magdalena,Puebloviejo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
21,Atlantico,Tubara,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
22,Atlantico,Galapa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
23,Atlantico,Soledad,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
25,Atlantico,Juan De Acosta,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
26,Cesar,Valledupar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
27,Magdalena,Aracataca,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
28,Atlantico,Baranoa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
29,Atlantico,Sabanagrande,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
30,Atlantico,Polonuevo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
32,Atlantico,Usiacuri,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
33,Bolivar,Santa Catalina,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
34,Atlantico,Santo Tomas,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
36,Magdalena,El Reten,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
37,Magdalena,Remolino,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
38,Atlantico,Sabanalarga,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
40,Atlantico,Luruaco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
41,Bolivar,Cartagena,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,4,,2015,
42,Cesar,Pueblo Bello,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
43,Magdalena,Pivijay,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
44,La Guajira,Villanueva,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
46,Magdalena,Fundacion,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,3,,2015,
47,Bolivar,Clemencia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
48,Atlantico,Repelon,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
49,Magdalena,Salamina,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
50,Atlantico,Candelaria,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
51,La Guajira,Urumita,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
52,Atlantico,Manati,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
53,Bolivar,Santa Rosa,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
54,Bolivar,Villanueva,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
55,La Guajira,La Jagua Del Pilar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
57,Atlantico,Campo De La Cruz,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
59,Bolivar,San Estanislao,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
60,Cesar,Manaure,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
61,Bolivar,Soplaviento,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
63,Bolivar,Turbaco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
64,Cesar,El Copey,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
65,Atlantico,Santa Lucia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
69,Cesar,San Diego,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
70,Atlantico,Suan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
72,Bolivar,Mahates,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
74,Bolivar,Turbana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
75,Magdalena,Zapayan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
76,Bolivar,Arroyohondo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
77,Magdalena,Sabanas De San Angel,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
78,Magdalena,Pedraza,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
79,Magdalena,Chivolo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
80,Cesar,Agustin Codazzi,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
81,Bolivar,El Guamo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
82,Sucre,San Onofre,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,1,,2015,
83,Bolivar,San Juan Nepomuceno,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
84,Bolivar,Maria La Baja,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
85,Cesar,Bosconia,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
86,Magdalena,Tenerife,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
87,Magdalena,Plato,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
89,Cesar,Becerril,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
91,Bolivar,San Jacinto,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
92,Bolivar,El Carmen De Bolivar,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,2,,2015,
94,Bolivar,Zambrano,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
95,Magdalena,Santa Ana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
96,Magdalena,Piji¥O Del Carmen,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
100,Sucre,Chalan,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
101,Bolivar,Cordoba,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
102,Sucre,Tolu,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
103,Sucre,Toluviejo,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
104,Sucre,Coloso,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
105,Cesar,Chiriguana,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
106,Cesar,Astrea,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
112,Magdalena,San Zenon,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
113,Sucre,Buenavista,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
114,Cordoba,San Antero,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
117,Sucre,Palmito,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
118,Cesar,Curumani,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
119,Magdalena,Guamal,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
120,Magdalena,El Banco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,1,,2015,
122,Cordoba,Lorica,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
125,Bolivar,Mompos,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
126,Bolivar,Cicuco,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
127,Norte De Santander,El Carmen,Elaboración Propia Del Cnmh. Informe La Palabra Y El Silencio. La Violencia Contra Periodistas En Colombia.,0,,2015,
